Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,current,2024-11-01,2025-03-31,all,20244286,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,current,2024-11-01,2025-03-31,3+,4463280,0.22
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,current,2024-11-01,2025-03-31,1,9477307,0.47
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,current,2024-11-01,2025-03-31,2,6303699,0.31
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,current,2024-11-01,2025-03-31,3,3630265,0.18
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,current,2024-11-01,2025-03-31,4,833016,0.04
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,first projection,2025-04-01,2025-07-31,all,20244286,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,first projection,2025-04-01,2025-07-31,3+,4072913,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,first projection,2025-04-01,2025-07-31,1,9524831,0.47
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,first projection,2025-04-01,2025-07-31,2,6646542,0.33
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,first projection,2025-04-01,2025-07-31,3,3826654,0.19
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,first projection,2025-04-01,2025-07-31,4,246259,0.01
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,current,2024-11-01,2025-03-31,all,9189695,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,current,2024-11-01,2025-03-31,3+,2211719,0.24
Nov 2024,PAK,241490000,BALOCHISTAN,current,2024-11-01,2025-03-31,1,3888280,0.42
Nov 2024,PAK,241490000,BALOCHISTAN,current,2024-11-01,2025-03-31,2,3089696,0.34
Nov 2024,PAK,241490000,BALOCHISTAN,current,2024-11-01,2025-03-31,3,1839633,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,current,2024-11-01,2025-03-31,4,372087,0.04
Nov 2024,PAK,241490000,BALOCHISTAN,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,first projection,2025-04-01,2025-07-31,all,9189695,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,first projection,2025-04-01,2025-07-31,3+,2078458,0.23
Nov 2024,PAK,241490000,BALOCHISTAN,first projection,2025-04-01,2025-07-31,1,3846769,0.42
Nov 2024,PAK,241490000,BALOCHISTAN,first projection,2025-04-01,2025-07-31,2,3264467,0.36
Nov 2024,PAK,241490000,BALOCHISTAN,first projection,2025-04-01,2025-07-31,3,1814554,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,first projection,2025-04-01,2025-07-31,4,263904,0.03
Nov 2024,PAK,241490000,BALOCHISTAN,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,SINDH,current,2024-11-01,2025-03-31,all,21354669,1.0
Nov 2024,PAK,241490000,SINDH,current,2024-11-01,2025-03-31,3+,4314570,0.2
Nov 2024,PAK,241490000,SINDH,current,2024-11-01,2025-03-31,1,9799160,0.46
Nov 2024,PAK,241490000,SINDH,current,2024-11-01,2025-03-31,2,7240939,0.34
Nov 2024,PAK,241490000,SINDH,current,2024-11-01,2025-03-31,3,3813478,0.18
Nov 2024,PAK,241490000,SINDH,current,2024-11-01,2025-03-31,4,501092,0.02
Nov 2024,PAK,241490000,SINDH,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,SINDH,first projection,2025-04-01,2025-07-31,all,21354669,1.0
Nov 2024,PAK,241490000,SINDH,first projection,2025-04-01,2025-07-31,3+,3840438,0.18
Nov 2024,PAK,241490000,SINDH,first projection,2025-04-01,2025-07-31,1,9961981,0.47
Nov 2024,PAK,241490000,SINDH,first projection,2025-04-01,2025-07-31,2,7552250,0.35
Nov 2024,PAK,241490000,SINDH,first projection,2025-04-01,2025-07-31,3,3642927,0.17
Nov 2024,PAK,241490000,SINDH,first projection,2025-04-01,2025-07-31,4,197511,0.01
Nov 2024,PAK,241490000,SINDH,first projection,2025-04-01,2025-07-31,5,0,0
